car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
TOTALT,13 398,100,38 241,100,13 875,100,37 088,100,"-3,4","3,1",2017,3,1
1. Volkswagen,1 573,"11,7",5 043,"13,2",2 236,"16,1",6 023,"16,2","-29,7","-16,3",2017,3,1
2. Toyota,1 704,"12,7",4 576,"12,0",1 537,"11,1",4 017,"10,8","10,9","13,9",2017,3,1
3. BMW,1 050,"7,8",3 692,"9,7",933,"6,7",2 921,"7,9","12,5","26,4",2017,3,1
4. Volvo,950,"7,1",2 999,"7,8",687,"5,0",2 062,"5,6","38,3","45,4",2017,3,1
5. Mercedes-Benz,934,"7,0",2 663,"7,0",817,"5,9",2 103,"5,7","14,3","26,6",2017,3,1
6. Nissan,888,"6,6",2 146,"5,6",1 105,"8,0",2 620,"7,1","-19,6","-18,1",2017,3,1
7. Skoda,671,"5,0",1 848,"4,8",662,"4,8",1 943,"5,2","1,4","-4,9",2017,3,1
8. Ford,503,"3,8",1 788,"4,7",717,"5,2",2 223,"6,0","-29,8","-19,6",2017,3,1
9. Audi,564,"4,2",1 615,"4,2",543,"3,9",1 633,"4,4","3,9","-1,1",2017,3,1
10. Peugeot,372,"2,8",1 407,"3,7",405,"2,9",1 270,"3,4","-8,1","10,8",2017,3,1
11. Kia,379,"2,8",1 219,"3,2",367,"2,6",972,"2,6","3,3","25,4",2017,3,1
12. Tesla,743,"5,5",1 208,"3,2",487,"3,5",705,"1,9","52,6","71,3",2017,3,1
13. Mitsubishi,460,"3,4",1 144,"3,0",825,"5,9",1 631,"4,4","-44,2","-29,9",2017,3,1
14. Renault,464,"3,5",1 111,"2,9",453,"3,3",814,"2,2","2,4","36,5",2017,3,1
15. Mazda,421,"3,1",1 086,"2,8",550,"4,0",1 822,"4,9","-23,5","-40,4",2017,3,1
16. Suzuki,231,"1,7",972,"2,5",292,"2,1",872,"2,4","-20,9","11,5",2017,3,1
17. Hyundai,414,"3,1",965,"2,5",159,"1,1",427,"1,2","160,4","126,0",2017,3,1
18. Opel,282,"2,1",703,"1,8",279,"2,0",790,"2,1","1,1","-11,0",2017,3,1
19. Citroen,187,"1,4",543,"1,4",155,"1,1",500,"1,3","20,6","8,6",2017,3,1
20. Honda,141,"1,1",339,"0,9",182,"1,3",468,"1,3","-22,5","-27,6",2017,3,1
21. Subaru,158,"1,2",306,"0,8",169,"1,2",300,"0,8","-6,5","2,0",2017,3,1
22. Lexus,85,"0,6",250,"0,7",74,"0,5",316,"0,9","14,9","-20,9",2017,3,1
23. MINI,63,"0,5",177,"0,5",55,"0,4",172,"0,5","14,5","2,9",2017,3,1
24. Porsche,39,"0,3",155,"0,4",30,"0,2",124,"0,3","30,0","25,0",2017,3,1
25. Land Rover,44,"0,3",81,"0,2",33,"0,2",108,"0,3","33,3","-25,0",2017,3,1
26. Jaguar,21,"0,2",74,"0,2",19,"0,1",43,"0,1","10,5","72,1",2017,3,1
27. Fiat,23,"0,2",32,"0,1",17,"0,1",27,"0,1","35,3","18,5",2017,3,1
28. Dacia,11,"0,1",31,"0,1",24,"0,2",46,"0,1","-54,2","-32,6",2017,3,1
29. Alfa Romeo,9,"0,1",23,"0,1",3,"0,0",5,"0,0","200,0","360,0",2017,3,1
30. DS,2,"0,0",19,"0,0",37,"0,3",64,"0,2","-94,6","-70,3",2017,3,1
31. Maserati,3,"0,0",7,"0,0",0,"0,0",3,"0,0",,"133,3",2017,3,1
32. Ssangyong,3,"0,0",5,"0,0",5,"0,0",21,"0,1","-40,0","-76,2",2017,3,1
33. Jeep,2,"0,0",4,"0,0",8,"0,1",16,"0,0","-75,0","-75,0",2017,3,1
34. Nilsson,0,"0,0",3,"0,0",2,"0,0",2,"0,0","-100,0","50,0",2017,3,1
34. Smart,2,"0,0",3,"0,0",6,"0,0",23,"0,1","-66,7","-87,0",2017,3,1
35. Aston Martin,1,"0,0",2,"0,0",2,"0,0",2,"0,0","-50,0","0,0",2017,3,1
35. Ferrari,1,"0,0",2,"0,0",0,"0,0",0,"0,0",,,2017,3,1
